"","Date","StartTime","Away","AwayPts","Home","HomePts","Attend","season"
"1","Fri, Jan 1, 2016","7:00p","Orlando Magic","91","Washington Wizards","103","16,986",2016
"2","Fri, Jan 1, 2016","7:30p","Dallas Mavericks","82","Miami Heat","106","19,748",2016
"3","Fri, Jan 1, 2016","7:30p","Charlotte Hornets","94","Toronto Raptors","104","19,800",2016
"4","Fri, Jan 1, 2016","8:00p","New York Knicks","81","Chicago Bulls","108","22,443",2016
"5","Fri, Jan 1, 2016","10:30p","Philadelphia 76ers","84","Los Angeles Lakers","93","18,997",2016
"6","Sat, Jan 2, 2016","3:00p","Brooklyn Nets","100","Boston Celtics","97","18,624",2016
"7","Sat, Jan 2, 2016","5:00p","Phoenix Suns","119","Sacramento Kings","142","17,317",2016
"8","Sat, Jan 2, 2016","7:00p","Oklahoma City Thunder","109","Charlotte Hornets","90","19,387",2016
"9","Sat, Jan 2, 2016","7:00p","Detroit Pistons","82","Indiana Pacers","94","18,165",2016
"10","Sat, Jan 2, 2016","7:30p","Orlando Magic","79","Cleveland Cavaliers","104","20,562",2016
"11","Sat, Jan 2, 2016","8:00p","Milwaukee Bucks","95","Minnesota Timberwolves","85","14,107",2016
"12","Sat, Jan 2, 2016","8:30p","New Orleans Pelicans","105","Dallas Mavericks","98","20,152",2016
"13","Sat, Jan 2, 2016","8:30p","Houston Rockets","103","San Antonio Spurs","121","18,652",2016
"14","Sat, Jan 2, 2016","9:00p","Memphis Grizzlies","87","Utah Jazz","92","18,455",2016
"15","Sat, Jan 2, 2016","10:30p","Denver Nuggets","108","Golden State Warriors","111","19,596",2016
"16","Sat, Jan 2, 2016","10:30p","Philadelphia 76ers","99","Los Angeles Clippers","130","19,212",2016
"17","Sun, Jan 3, 2016","3:30p","Atlanta Hawks","97","New York Knicks","111","19,812",2016
"18","Sun, Jan 3, 2016","3:30p","Chicago Bulls","115","Toronto Raptors","113","19,800",2016
"19","Sun, Jan 3, 2016","6:00p","Miami Heat","97","Washington Wizards","75","17,793",2016
"20","Sun, Jan 3, 2016","9:00p","Portland Trail Blazers","112","Denver Nuggets","106","11,883",2016
"21","Sun, Jan 3, 2016","9:30p","Phoenix Suns","77","Los Angeles Lakers","97","18,997",2016
"22","Mon, Jan 4, 2016","7:00p","Toronto Raptors","100","Cleveland Cavaliers","122","20,562",2016
"23","Mon, Jan 4, 2016","7:00p","Minnesota Timberwolves","99","Philadelphia 76ers","109","14,013",2016
"24","Mon, Jan 4, 2016","7:30p","Boston Celtics","103","Brooklyn Nets","94","15,448",2016
