"","V1","V4","Yr"
"1","Cleveland Cavaliers","0.695",2016
"2","Toronto Raptors","0.683",2016
"3","Miami Heat","0.585",2016
"4","Atlanta Hawks","0.585",2016
"5","Boston Celtics","0.585",2016
"6","Charlotte Hornets","0.585",2016
"7","Indiana Pacers","0.549",2016
"8","Detroit Pistons","0.537",2016
"9","Chicago Bulls","0.512",2016
"10","Washington Wizards","0.500",2016
"11","Orlando Magic","0.427",2016
"12","Milwaukee Bucks","0.402",2016
"13","New York Knicks","0.390",2016
"14","Brooklyn Nets","0.256",2016
"15","Philadelphia 76ers","0.122",2016
"16","Golden State Warriors","0.890",2016
"17","San Antonio Spurs","0.817",2016
"18","Oklahoma City Thunder","0.671",2016
"19","Los Angeles Clippers","0.646",2016
"20","Portland Trail Blazers","0.537",2016
"21","Dallas Mavericks","0.512",2016
"22","Memphis Grizzlies","0.512",2016
"23","Houston Rockets","0.500",2016
"24","Utah Jazz","0.488",2016
"25","Sacramento Kings","0.402",2016
"26","Denver Nuggets","0.402",2016
"27","New Orleans Pelicans","0.366",2016
"28","Minnesota Timberwolves","0.354",2016
"29","Phoenix Suns","0.280",2016
"30","Los Angeles Lakers","0.207",2016
"31","Boston Celtics","0.646",2017
"32","Cleveland Cavaliers","0.622",2017
"33","Toronto Raptors","0.622",2017
"34","Washington Wizards","0.598",2017
"35","Atlanta Hawks","0.524",2017
"36","Milwaukee Bucks","0.512",2017
"37","Indiana Pacers","0.512",2017
"38","Chicago Bulls","0.500",2017
"39","Miami Heat","0.500",2017
"40","Detroit Pistons","0.451",2017
"41","Charlotte Hornets","0.439",2017
"42","New York Knicks","0.378",2017
"43","Orlando Magic","0.354",2017
"44","Philadelphia 76ers","0.341",2017
"45","Brooklyn Nets","0.244",2017
"46","Golden State Warriors","0.817",2017
"47","San Antonio Spurs","0.744",2017
"48","Houston Rockets","0.671",2017
"49","Los Angeles Clippers","0.622",2017
"50","Utah Jazz","0.622",2017
"51","Oklahoma City Thunder","0.573",2017
"52","Memphis Grizzlies","0.524",2017
"53","Portland Trail Blazers","0.500",2017
"54","Denver Nuggets","0.488",2017
"55","New Orleans Pelicans","0.415",2017
"56","Dallas Mavericks","0.402",2017
"57","Sacramento Kings","0.390",2017
"58","Minnesota Timberwolves","0.378",2017
"59","Los Angeles Lakers","0.317",2017
"60","Phoenix Suns","0.293",2017
"61","Toronto Raptors","0.720",2018
"62","Boston Celtics","0.671",2018
"63","Philadelphia 76ers","0.634",2018
"64","Cleveland Cavaliers","0.610",2018
"65","Indiana Pacers","0.585",2018
"66","Miami Heat","0.537",2018
"67","Milwaukee Bucks","0.537",2018
"68","Washington Wizards","0.524",2018
"69","Detroit Pistons","0.476",2018
"70","Charlotte Hornets","0.439",2018
"71","New York Knicks","0.354",2018
"72","Brooklyn Nets","0.341",2018
"73","Chicago Bulls","0.329",2018
"74","Orlando Magic","0.305",2018
"75","Atlanta Hawks","0.293",2018
"76","Houston Rockets","0.793",2018
"77","Golden State Warriors","0.707",2018
"78","Portland Trail Blazers","0.598",2018
"79","Oklahoma City Thunder","0.585",2018
"80","Utah Jazz","0.585",2018
"81","New Orleans Pelicans","0.585",2018
"82","San Antonio Spurs","0.573",2018
"83","Minnesota Timberwolves","0.573",2018
"84","Denver Nuggets","0.561",2018
"85","Los Angeles Clippers","0.512",2018
"86","Los Angeles Lakers","0.427",2018
"87","Sacramento Kings","0.329",2018
"88","Dallas Mavericks","0.293",2018
"89","Memphis Grizzlies","0.268",2018
"90","Phoenix Suns","0.256",2018
"91","Milwaukee Bucks","0.732",2019
"92","Toronto Raptors","0.707",2019
"93","Philadelphia 76ers","0.622",2019
"94","Boston Celtics","0.598",2019
"95","Indiana Pacers","0.585",2019
"96","Brooklyn Nets","0.512",2019
"97","Orlando Magic","0.512",2019
"98","Detroit Pistons","0.500",2019
"99","Charlotte Hornets","0.476",2019
"100","Miami Heat","0.476",2019
"101","Washington Wizards","0.390",2019
"102","Atlanta Hawks","0.354",2019
"103","Chicago Bulls","0.268",2019
"104","Cleveland Cavaliers","0.232",2019
"105","New York Knicks","0.207",2019
"106","Golden State Warriors","0.695",2019
"107","Denver Nuggets","0.659",2019
"108","Portland Trail Blazers","0.646",2019
"109","Houston Rockets","0.646",2019
"110","Utah Jazz","0.610",2019
"111","Oklahoma City Thunder","0.598",2019
"112","San Antonio Spurs","0.585",2019
"113","Los Angeles Clippers","0.585",2019
"114","Sacramento Kings","0.476",2019
"115","Los Angeles Lakers","0.451",2019
"116","Minnesota Timberwolves","0.439",2019
"117","Memphis Grizzlies","0.402",2019
"118","New Orleans Pelicans","0.402",2019
"119","Dallas Mavericks","0.402",2019
"120","Phoenix Suns","0.232",2019
"121","Milwaukee Bucks","0.767",2020
"122","Toronto Raptors","0.736",2020
"123","Boston Celtics","0.667",2020
"124","Indiana Pacers","0.616",2020
"125","Miami Heat","0.603",2020
"126","Philadelphia 76ers","0.589",2020
"127","Brooklyn Nets","0.486",2020
"128","Orlando Magic","0.452",2020
"129","Charlotte Hornets","0.354",2020
"130","Washington Wizards","0.347",2020
"131","Chicago Bulls","0.338",2020
"132","New York Knicks","0.318",2020
"133","Detroit Pistons","0.303",2020
"134","Atlanta Hawks","0.299",2020
"135","Cleveland Cavaliers","0.292",2020
"136","Los Angeles Lakers","0.732",2020
"137","Los Angeles Clippers","0.681",2020
"138","Denver Nuggets","0.630",2020
"139","Houston Rockets","0.611",2020
"140","Oklahoma City Thunder","0.611",2020
"141","Utah Jazz","0.611",2020
"142","Dallas Mavericks","0.573",2020
"143","Portland Trail Blazers","0.473",2020
"144","Memphis Grizzlies","0.466",2020
"145","Phoenix Suns","0.466",2020
"146","San Antonio Spurs","0.451",2020
"147","Sacramento Kings","0.431",2020
"148","New Orleans Pelicans","0.417",2020
"149","Minnesota Timberwolves","0.297",2020
"150","Golden State Warriors","0.231",2020
"151","Philadelphia 76ers","0.681",2021
"152","Brooklyn Nets","0.667",2021
"153","Milwaukee Bucks","0.639",2021
"154","New York Knicks","0.569",2021
"155","Atlanta Hawks","0.569",2021
"156","Miami Heat","0.556",2021
"157","Boston Celtics","0.500",2021
"158","Washington Wizards","0.472",2021
"159","Indiana Pacers","0.472",2021
"160","Charlotte Hornets","0.458",2021
"161","Chicago Bulls","0.431",2021
"162","Toronto Raptors","0.375",2021
"163","Cleveland Cavaliers","0.306",2021
"164","Orlando Magic","0.292",2021
"165","Detroit Pistons","0.278",2021
"166","Utah Jazz","0.722",2021
"167","Phoenix Suns","0.708",2021
"168","Denver Nuggets","0.653",2021
"169","Los Angeles Clippers","0.653",2021
"170","Dallas Mavericks","0.583",2021
"171","Portland Trail Blazers","0.583",2021
"172","Los Angeles Lakers","0.583",2021
"173","Golden State Warriors","0.542",2021
"174","Memphis Grizzlies","0.528",2021
"175","San Antonio Spurs","0.458",2021
"176","New Orleans Pelicans","0.431",2021
"177","Sacramento Kings","0.431",2021
"178","Minnesota Timberwolves","0.319",2021
"179","Oklahoma City Thunder","0.306",2021
"180","Houston Rockets","0.236",2021
